identifier           target               X                    r                    E                    M                    rou                  Er                  
sample1              0.010000000000       0.180775601847       -0.304847946331      -1.078163903023      -0.714506526841      -0.692395457392      -0.360000000000     
sample2              0.030000000000       0.180775601847       0.080695044617       1.269763417877       0.997391137793       1.230873128010       -0.560000000000     
sample3              0.040000000000       0.180775601847       -0.112076450857      0.682781587652       0.959246737921       1.259693336583       -0.550000000000     
sample4              0.050000000000       0.634693901374       -0.304847946331      -1.078163903023      -0.714506526841      -0.692395457392      -0.650000000000     
sample5              0.050000000000       0.180775601847       -0.304847946331      -1.078163903023      -0.714506526841      -0.692395457392      0.010000000000      
sample6              0.080000000000       0.180775601847       -0.304847946331      -1.078163903023      -0.714506526841      -0.692395457392      0.010000000000      
sample7              0.090000000000       0.180775601847       -0.112076450857      0.682781587652       0.959246737921       1.259693336583       -0.960000000000     
sample8              0.170000000000       0.180775601847       -0.304847946331      -1.078163903023      -0.714506526841      -0.692395457392      0.190000000000      
sample9              0.210000000000       0.180775601847       -0.304847946331      -1.078163903023      -0.714506526841      -0.692395457392      0.090000000000      
sample10             0.230000000000       0.634693901374       0.659009531040       1.123017960321       1.052211732585       1.044502445908       -0.790000000000     
sample11             0.230000000000       0.180775601847       -0.304847946331      -1.078163903023      -0.714506526841      -0.692395457392      0.220000000000      
sample12             0.250000000000       0.180775601847       -0.304847946331      -1.078163903023      -0.714506526841      -0.692395457392      0.200000000000      
sample13             0.250000000000       0.180775601847       -0.304847946331      -1.078163903023      -0.714506526841      -0.692395457392      0.050000000000      
sample14             0.260000000000       -1.464678233939      -2.232562901075      -0.828696625177      -1.562117261699      -1.366404068540      -0.510000000000     
sample15             0.260000000000       0.180775601847       -0.304847946331      -1.078163903023      -0.714506526841      -0.692395457392      0.300000000000      
sample16             0.270000000000       -1.521418021380      0.273466540091       -0.491182072798      0.882191216570       0.965727209143       -1.230000000000     
sample17             0.300000000000       -1.464678233939      -2.232562901075      -0.828696625177      -1.562117261699      -1.366404068540      -0.730000000000     
sample18             0.300000000000       0.180775601847       -0.304847946331      -1.078163903023      -0.714506526841      -0.692395457392      0.340000000000      
sample19             0.300000000000       0.180775601847       -0.304847946331      -1.224909360579      -0.749775720693      -0.692395457392      -0.780000000000     
sample20             0.330000000000       0.634693901374       -0.304847946331      -1.078163903023      -0.714506526841      -0.692395457392      -0.290000000000     
sample21             0.340000000000       0.180775601847       -0.304847946331      -1.078163903023      -0.714506526841      -0.692395457392      0.050000000000      
sample22             0.350000000000       0.180775601847       -0.112076450857      0.682781587652       0.959246737921       1.259693336583       -0.400000000000     
sample23             0.350000000000       -1.521418021380      0.273466540091       -0.491182072798      0.882191216570       0.965727209143       -0.340000000000     
sample24             0.350000000000       0.180775601847       -0.304847946331      -1.078163903023      -0.714506526841      -0.692395457392      0.020000000000      
sample25             0.360000000000       0.180775601847       -0.304847946331      -1.224909360579      -0.749775720693      -0.692395457392      -0.660000000000     
sample26             0.360000000000       0.180775601847       -0.304847946331      -1.224909360579      -0.749775720693      -0.692395457392      -0.580000000000     
